site,sitecode,NPL,MFC,ESD,L1785
1,LR_3,0,4,12,1
2,LR_5,0,3.94,13.4,1
3,MA_1,0,1.89,13.9,1
4,MB_1X,0,1.78,46.1,1
5,MH_21,0,2.63,22.7,0
6,MH_3,0,3,21.5,0
7,MH_4,0,4.9,29.6,0
8,MH_5,0,3,10.2,0
9,NP_101,1,2.95,7.8,0
10,NP_102,1,2,7.6,1
11,NP_103,1,3,14.8,0
12,NP_104,1,1,6.8,1
13,NP_105,1,1,8.7,1
14,NP_106,1,2.55,13.7,0
15,NP_107,1,1.89,9.2,0
16,NP_108,1,1,4.1,1
17,NP_109,1,1.97,12.6,1
18,NP_13,1,3.11,17.2,0
19,NP_14,1,2,8.6,0
20,NP_16,1,2.66,7.4,0
21,NP_18X,1,1.4,4.2,1
22,NP_19X,1,1,10.6,1
23,NP_1X,1,1.87,12.9,0
24,NP_22,1,2,6,0
25,NP_8,1,2.21,12.1,0
26,NP_9,1,2.81,17.6,0
27,UM_110,0,4.96,26.5,0
28,UM_113,0,1,20.3,1
29,UM_114,0,1.32,17,1
30,UM_115,0,3.76,37.9,1
31,UM_116,0,4,16.5,1
32,UM_117,0,3.62,32.9,1
33,UM_120,0,2,21.7,1
34,UM_121,0,4,12.5,0
